HARDNESS,FRIABILITY,Drug_content,Water_absorption_ratio,DISINTEGRATION_TIME
3.5,0.75,98.2,0.0,32.0
4.0,0.59,100.1,0.0,30.0
3.5,0.48,99.4,0.0,34.0
3.5,0.49,97.3,0.0,46.0
3.5,0.45,100.1,0.0,23.0
3.0,0.53,99.9,0.0,21.0
4.0,0.63,99.2,0.0,26.0
3.5,0.55,98.1,0.0,39.0
3.5,0.64,99.7,0.0,19.0
3.0,0.57,99.9,0.0,15.0
3.5,0.51,100.1,0.0,20.0
3.0,0.64,97.2,0.0,20.0
3.0,0.54,100.1,0.0,14.0
3.5,0.65,99.6,0.0,9.0
4.0,0.54,99.3,0.0,16.0
3.5,0.63,98.7,0.0,22.0
3.0,0.54,0.0,0.0,22.0
3.5,0.65,0.0,0.0,18.0
4.0,0.54,0.0,0.0,19.0
3.5,0.63,0.0,0.0,16.0
3.7,0.41,0.0,83.365,88.0
3.6,0.46,0.0,85.36,70.0
3.6,0.46,0.0,95.78,63.0
3.5,0.3,0.0,85.94,58.0
3.8,0.3,0.0,85.83,120.0
3.6,0.42,0.0,133.9,72.0
3.5,0.49,0.0,67.73,57.0
3.6,0.42,0.0,87.53,54.0
3.5,0.35,0.0,84.53,44.0
3.36,0.34,0.0,108.22,100.0
3.83,0.66,97.63,170.27,14.5
3.66,0.65,99.3,166.46,16.0
3.66,0.61,99.99,165.74,12.73
4.0,0.44,99.23,60.72,92.47
4.2,0.53,100.17,67.43,37.49
4.0,0.64,99.38,71.67,35.17
4.0,0.72,100.31,75.22,33.43
4.2,0.83,100.29,85.94,30.91
4.0,0.89,99.11,94.53,28.83
4.2,0.42,99.25,69.53,33.53
4.0,0.55,99.13,75.47,27.56
4.0,0.59,100.19,78.47,19.97
4.2,0.71,100.13,100.31,18.49
4.0,0.81,100.21,105.05,17.47
