Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
21.43,0.0,0,0.65,10.22,0.0,0,2.0,678,30.0,0.0,1.11,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,57.0,538.1,0.0,0.0,0.0,0.0,6.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.72,2.38,81.0,100.0,20.0,5.6,0.0,0.0
20.55,0.0,0,0.69,12.65,0.0,0,2.0,678,30.0,0.0,1.14,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,55.0,538.1,0.0,0.0,0.0,0.0,8.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.79,2.47,81.0,100.0,18.0,5.6,0.0,0.0
21.45,0.0,0,0.69,14.81,0.0,0,2.0,678,30.0,0.0,1.17,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,53.0,538.1,0.0,0.0,0.0,0.0,10.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.81,2.5,81.0,100.0,8.0,5.6,0.0,0.0
20.67,0.0,0,0.7,14.63,0.0,0,2.0,678,30.0,0.0,1.17,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,57.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,2.0,0.82,2.46,81.0,100.0,36.0,5.6,0.0,0.0
20.84,0.0,0,0.64,11.11,0.0,0,2.0,678,30.0,0.0,1.12,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,55.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,2.0,0.72,2.38,81.0,100.0,23.0,5.6,0.0,0.0
20.82,0.0,0,0.64,12.32,0.0,0,2.0,678,30.0,0.0,1.14,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,53.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,2.0,0.73,2.5,81.0,100.0,22.0,5.6,0.0,0.0
22.29,0.0,0,0.65,12.16,0.0,0,2.0,678,30.0,0.0,1.13,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,57.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.74,2.33,81.0,100.0,57.0,5.6,0.0,0.0
22.32,0.0,0,0.71,14.45,0.0,0,2.0,678,30.0,0.0,1.16,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,55.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.83,2.5,81.0,100.0,50.0,5.6,0.0,0.0
21.27,0.0,0,0.7,12.5,0.0,0,2.0,678,30.0,0.0,1.14,38,5,4,0.0,0.0,0.0,-6.6,2.0,1.0,0,53.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.8,2.4,81.0,100.0,25.0,5.6,0.0,0.0
38.04,7.0,0,0.766,14.31,0.0,0,2.0,678,30.0,0.0,1.16,38,5,4,0.0,0.0,0.0,-6.6,2.0,68.0,0,38.0,538.1,0.0,0.0,0.0,0.0,0.0,10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.894,2.21,81.0,150.0,42.67,5.6,0.0,0.0
