Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Microcrystalline_Cellulose,Molecular_Weight,Plantago_ovata,Polacrilin_Potassium,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_croscarmellose,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_,task_ind,Clove_oil_0,Clove_oil_5,Menthol_0,Menthol_1,Neotame_0_0,Neotame_1_1,Neotame_6_0,Polyethylene_Glycol_0_0,Polyethylene_Glycol_10_0,Sodium_Saccharine_0_0,Sodium_Saccharine_10_0,Sodium_Saccharine_15_0,Sodium_lauryl_sulfate_SLS_0_0,Sodium_lauryl_sulfate_SLS_6_0,Stevia_leaf_Powder_0,Stevia_leaf_Powder_5
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,181.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,2.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,179.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,175.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,8.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,171.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,12.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,167.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,16.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,163.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,20.0,3.0,0.0,3.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,179.0,0.0,239.31,0.0,0.0,2.0,5,0.0,5.0,8.0,2.0,0.0,2.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,177.0,0.0,239.31,0.0,0.0,4.0,5,0.0,5.0,8.0,2.0,0.0,2.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,175.0,0.0,239.31,0.0,0.0,6.0,5,0.0,5.0,8.0,2.0,0.0,2.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0.0,0.0,0,0.0,0.0,0.0,0.0,227,2.0,0.0,0.0,17,4,4,0.0,0.0,0.0,-1.88,0.0,173.0,0.0,239.31,0.0,0.0,8.0,5,0.0,5.0,8.0,2.0,0.0,2.0,0.0,0.0,72.7,200.0,0.0,0.3,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
