Sample name,Protein concentration,Surfactant concentration,Temperature,Time (M),If 10mM L-Met,pH,RCE_LMW,RCE_Main,RCE_HMW,SEC_HMW,SEC_Monomer,SEC_LMW,delta_RCE_LMW,delta_SEC_HMW
MK-6070(1)-PS20(0.02) 1M 25C,1,0.02,25,1,N,5,3.200000000000003,96.8,ND,1.8,97.2,1,-0.3,-0.1
MK-6070(1)-PS20(0.1) 1M 25C,1,0.1,25,1,N,5,4.099999999999994,95.9,ND,1.5,97.6,0.9,1.6999999999999886,-0.2
"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 25C",1,0.02,25,1,Y,5,3.5999999999999943,96.4,ND,1.8,97.2,1,1,-0.3
MK-6070(1)-PS20(0.05) 1M 25C,1,0.05,25,1,N,5,4,96,ND,1.9,97.2,0.9,1.5,-0.1
MK-6070(1)-PS20(0.02) 1M 40C,1,0.02,40,1,N,5,9.400000000000006,90.6,ND,1.6,95.9,2.5,5.900000000000006,-0.3
MK-6070(1)-PS20(0.1) 1M 40C,1,0.1,40,1,N,5,8.700000000000003,91.3,ND,1.4,96.1,2.5,6.299999999999997,-0.3
"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 40C",1,0.02,40,1,Y,5,9.299999999999997,90.7,ND,1.6,95.9,2.5,6.700000000000003,-0.5
MK-6070(1)-PS20(0.05) 1M 40C,1,0.05,40,1,N,5,9.900000000000006,90.1,ND,1.7,95.8,2.6,7.400000000000006,-0.3
MK-6070(1)-PS20(0.02) 2M 25C,1,0.02,25,2,N,5,3.9000000000000057,96.1,ND,2,96.8,1.2,0.4000000000000057,0.10000000000000009
MK-6070(1)-PS20(0.1) 2M 25C,1,0.1,25,2,N,5,4.099999999999994,95.9,ND,1.7,97,1.2,1.6999999999999886,0
"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 25C",1,0.02,25,2,Y,5,3.799999999999997,96.2,ND,2,96.8,1.2,1.2000000000000028,-0.1
MK-6070(1)-PS20(0.05) 2M 25C,1,0.05,25,2,N,5,4.299999999999997,95.7,ND,2,96.8,1.2,1.7999999999999972,0
MK-6070(1)-PS20(0.02) 2M 40C,1,0.02,40,2,N,5,13.099999999999994,86.9,ND,1.9,93.2,4.9,9.599999999999994,0
MK-6070(1)-PS20(0.1) 2M 40C,1,0.1,40,2,N,5,12.599999999999994,87.4,ND,1.9,93.4,4.7,10.199999999999989,0.19999999999999996
"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 40C",1,0.02,40,2,Y,5,11.700000000000003,88.3,ND,1.9,93.2,4.9,9.100000000000009,-0.2
MK-6070(1)-PS20(0.05) 2M 40C,1,0.05,40,2,N,5,13.099999999999994,86.9,ND,2,93.2,4.9,10.599999999999994,0
"1, PS-20, 0.02, 3M 5C",1,0.02,5,3,N,5,3.9,96.1,ND,1.7,96.8,1.5,0.3999999999999999,-0.2
"1,PS-20, 0.1, 3M 5C",1,0.1,5,3,N,5,3.7,96.3,ND,1.5,97.1,1.5,1.2999999999999945,-0.2
"1, PS-20, 0.02, 10mM L-Met, 3M 5C",1,0.02,5,3,Y,5,3.7,95.9,ND,1.8,96.8,1.4,1.1000000000000059,-0.3
"1, PS-20, 0.05, 3M 5C",1,0.05,5,3,N,5,4.3,95.7,ND,1.8,96.9,1.3,1.7999999999999998,-0.2
"1, PS-20, 0.02, 3M 25C",1,0.02,25,3,N,5,6.2,93.8,ND,1.8,95.9,2.4,2.7,-0.1
"1,PS-20, 0.1, 3M 25C",1,0.1,25,3,N,5,6,94,ND,1.6,96.2,2.3,3.5999999999999943,-0.1
"1, PS-20, 0.02, 10mM L-Met, 3M 25C",1,0.02,25,3,Y,5,5,95,ND,1.8,96,2.3,2.4000000000000057,-0.3
