,Sample name,Protein concentration,Surfactant concentration,Temperature,Time (M),If 10mM L-Met,pH,RCE_LMW,RCE_Main,RCE_HMW,SEC_HMW,SEC_Monomer,SEC_LMW,delta_RCE_LMW,delta_SEC_HMW
0,MK-6070(1)-PS20(0.02) T0,1,0.02,,0,N,5.0,3.5,96.5,ND,1.9,97.4,0.6,0.0,0.0
1,MK-6070(1)-PS20(0.1) T0,1,0.1,,0,N,5.0,2.4000000000000057,97.6,ND,1.7,97.7,0.6,0.0,0.0
2,"MK-6070(1)-PS20(0.02), 10 mM L-Met T0",1,0.02,,0,Y,5.0,2.5999999999999943,97.4,ND,2.1,97.3,0.6,0.0,0.0
3,MK-6070(1)-PS20(0.05) T0,1,0.05,,0,N,5.0,2.5,97.5,ND,2.0,97.5,0.5,0.0,0.0
4,MK-6070(1)-PS20(0.02) 1M 25C,1,0.02,25.0,1,N,5.0,3.200000000000003,96.8,ND,1.8,97.2,1.0,-0.29999999999999716,-0.09999999999999987
5,MK-6070(1)-PS20(0.1) 1M 25C,1,0.1,25.0,1,N,5.0,4.099999999999994,95.9,ND,1.5,97.6,0.9,1.6999999999999886,-0.19999999999999996
6,"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 25C",1,0.02,25.0,1,Y,5.0,3.5999999999999943,96.4,ND,1.8,97.2,1.0,1.0,-0.30000000000000004
7,MK-6070(1)-PS20(0.05) 1M 25C,1,0.05,25.0,1,N,5.0,4.0,96.0,ND,1.9,97.2,0.9,1.5,-0.10000000000000009
8,MK-6070(1)-PS20(0.02) 1M 40C,1,0.02,40.0,1,N,5.0,9.400000000000006,90.6,ND,1.6,95.9,2.5,5.900000000000006,-0.2999999999999998
9,MK-6070(1)-PS20(0.1) 1M 40C,1,0.1,40.0,1,N,5.0,8.700000000000003,91.3,ND,1.4,96.1,2.5,6.299999999999997,-0.30000000000000004
10,"MK-6070(1)-PS20(0.02), 10 mM L-Met 1M 40C",1,0.02,40.0,1,Y,5.0,9.299999999999997,90.7,ND,1.6,95.9,2.5,6.700000000000003,-0.5
11,MK-6070(1)-PS20(0.05) 1M 40C,1,0.05,40.0,1,N,5.0,9.900000000000006,90.1,ND,1.7,95.8,2.6,7.400000000000006,-0.30000000000000004
12,MK-6070(1)-PS20(0.02) 2M 25C,1,0.02,25.0,2,N,5.0,3.9000000000000057,96.1,ND,2.0,96.8,1.2,0.4000000000000057,0.10000000000000009
13,MK-6070(1)-PS20(0.1) 2M 25C,1,0.1,25.0,2,N,5.0,4.099999999999994,95.9,ND,1.7,97.0,1.2,1.6999999999999886,0.0
14,"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 25C",1,0.02,25.0,2,Y,5.0,3.799999999999997,96.2,ND,2.0,96.8,1.2,1.2000000000000028,-0.10000000000000009
15,MK-6070(1)-PS20(0.05) 2M 25C,1,0.05,25.0,2,N,5.0,4.299999999999997,95.7,ND,2.0,96.8,1.2,1.7999999999999972,0.0
16,MK-6070(1)-PS20(0.02) 2M 40C,1,0.02,40.0,2,N,5.0,13.099999999999994,86.9,ND,1.9,93.2,4.9,9.599999999999994,0.0
17,MK-6070(1)-PS20(0.1) 2M 40C,1,0.1,40.0,2,N,5.0,12.599999999999994,87.4,ND,1.9,93.4,4.7,10.199999999999989,0.19999999999999996
18,"MK-6070(1)-PS20(0.02), 10 mM L-met 2M 40C",1,0.02,40.0,2,Y,5.0,11.700000000000003,88.3,ND,1.9,93.2,4.9,9.100000000000009,-0.20000000000000018
19,MK-6070(1)-PS20(0.05) 2M 40C,1,0.05,40.0,2,N,5.0,13.099999999999994,86.9,ND,2.0,93.2,4.9,10.599999999999994,0.0
20,"1, PS-20, 0.02, 3M 5C",1,0.02,5.0,3,N,5.0,3.9,96.1,ND,1.7,96.8,1.5,0.3999999999999999,-0.19999999999999996
