"Formulation
#",Buffer Type,pH,Sugar/ Salt,Additive,"Additive Conc
(mM)",PS20 Conc (%),
1,Ace,4.5,4% Sorbitol,Arginine,40,0.02,
2,Ace,4.5,4% Sorbitol,Glycine,40,0.02,
3,Ace,5,4% Sorbitol,Arginine,40,0.02,
4,Ace,5,4% Sorbitol,Glycine,40,0.02,
5,Ace,5,0.1M NaCl,Glycine,40,0.02,
6,Ace,5.5,4% Sorbitol,Glycine,40,0.02,
7,His,5.5,4% Sorbitol,Arginine,40,0.02,
8,His,6,4% Sorbitol,Arginine,40,0.02,
9,His,6,4% Sorbitol,Glycine,40,0.02,
10,His,6,0.1M NaCl,Glycine,40,0.02,
11,His,6.5,4% Sorbitol,Arginine,40,0.02,
12,His,6.5,4% Sorbitol,Glycine,40,0.02,
13,Cit,5,4% Sorbitol,Arginine,40,0.02,
14,Cit,5,0.1M NaCl,Glycine,40,0.02,
15,Cit,6,4% Sorbitol,Glycine,40,0.02,
16,Cit,6.5,4% Sorbitol,Arginine,40,0.02,
17,Cit,6.5,4% Sorbitol,Glycine,40,0.02,
18,Cit,7,0.1M NaCl,Glycine,40,0.02,
19,Cit,7,4% Sorbitol,Glycine,40,0.02,
20,Cit,7,4% Sorbitol,Arginine,40,0.02,
21,Phos,6.5,4% Sorbitol,Arginine,40,0.02,
22,Phos,6.5,4% Sorbitol,Glycine,40,0.02,
23,Phos,7,4% Sorbitol,Arginine,40,0.02,
24,Phos,7,4% Sorbitol,Glycine,40,0.02,
