pH,Buffer_Type_Ace,Buffer_Type_Cit,Buffer_Type_His,Buffer_Type_Phos,Sugar_Salt_0_1M_NaCl,Sugar_Salt_4_Sorbitol,Additive_Arginine,Additive_Glycine,_Dimer_HMW__1,_Dimer_HMW__2,_Dimer_HMW__3,_Monomer_1,_Monomer_2,_Monomer_3
4.5,1,0,0,0,0,1,1,0,2.4,1.6,1.8,95.1,96.2,93.8
4.5,1,0,0,0,0,1,0,1,0.8,1.1,0.7,97.3,96.6,95.1
5,1,0,0,0,0,1,1,0,3.2,2,2.7,94.3,95.6,93.4
5,1,0,0,0,0,1,0,1,1.4,1.4,1.3,96.7,96.4,95
5,1,0,0,0,1,0,0,1,4.2,2.3,3.4,93.3,95.2,92.7
5.5,1,0,0,0,0,1,0,1,1.8,1.3,1.9,96.3,96.4,94.5
5.5,0,0,1,0,0,1,1,0,3.6,2.2,3.1,94,95.5,93.8
6,0,0,1,0,0,1,1,0,3.7,2.1,3.4,94.3,95.6,93
6,0,0,1,0,0,1,0,1,2.1,1.3,2.2,95.5,96.4,94.2
6,0,0,1,0,1,0,0,1,4.3,2.1,4.9,93.1,95.5,89.6
6.5,0,0,1,0,0,1,1,0,4.4,2.1,4.3,93.3,95.8,92.1
6.5,0,0,1,0,0,1,0,1,1.9,1.2,2.8,96.1,96.8,93.3
5,0,1,0,0,0,1,1,0,2.9,1.5,2.5,95.1,96.3,93.6
5,0,1,0,0,1,0,0,1,3.5,1.8,3.4,94.5,95.9,92.4
6,0,1,0,0,0,1,0,1,3.2,1.9,3,94.8,96,93.4
6.5,0,1,0,0,0,1,1,0,3.2,1.7,3.1,94.8,96,93
6.5,0,1,0,0,0,1,0,1,3.3,1.9,3.3,94.7,95.8,92.9
7,0,1,0,0,1,0,0,1,3.7,1.9,4,94.3,95.9,91.5
7,0,1,0,0,0,1,0,1,3.3,1.8,3.6,94.7,95.9,91.8
7,0,1,0,0,0,1,1,0,3.3,1.7,3.3,94.4,96.2,92.3
6.5,0,0,0,1,0,1,1,0,3.4,1.8,3.7,94.1,96,92.3
6.5,0,0,0,1,0,1,0,1,3,1.9,3.6,94.4,95.7,92.2
7,0,0,0,1,0,1,1,0,3.4,1.8,4.2,94.1,95.9,90.8
7,0,0,0,1,0,1,0,1,3.3,1.9,4.4,94.6,95.9,90.3
