,Round,pH,NaCl_mM_,Trehalose_w_v_,Mannitol_w_v_,Tween_20_v_v_,Tm,NP,task_ind
0,Intial,5.0,15.0,7.0,0.0,0.01,59.347821678136796,9.125636672325951,0
1,Intial,5.0,18.33,1.0,3.0,0.0,59.453012227612504,15.327257663628801,0
2,Intial,5.5,11.67,5.0,5.0,0.001,61.8203655303956,22.56452955870109,0
3,Intial,6.0,8.33,4.0,4.0,0.1,62.133793265809004,5.018450184501833,0
4,Intial,6.0,41.67,7.0,0.0,0.0,61.2249757271141,14.055201698513784,0
5,Intial,6.0,1.67,2.0,2.0,0.01,61.73605820596415,30.172068827531014,0
6,Intial,6.0,25.0,7.0,3.0,0.01,62.29108992377515,15.544041450777204,0
7,Intial,6.0,45.0,1.0,5.0,0.1,60.96488982123335,5.468749999999992,0
8,Intial,6.0,48.33,4.0,5.0,0.0,61.654498619044546,18.791118421052627,0
9,Intial,6.0,38.33,0.0,2.0,0.1,60.5022909329801,6.504672897196259,0
10,Intial,6.0,31.67,9.0,3.0,0.001,62.2247651585881,24.22231439236831,0
11,Intial,6.5,28.33,3.0,3.0,0.0,61.8376657059733,20.329218106995878,0
12,Intial,6.5,35.0,5.0,2.0,0.01,62.43323172540655,16.893203883495165,0
13,Intial,6.5,5.0,5.0,3.0,0.001,62.1750920482675,19.17808219178082,0
14,Round 1,6.0,15.0,7.1,4.8,0.09,62.335215959400145,9.296781883194297,0
15,Round 1,6.0,6.0,6.1,4.4,0.1,62.37723903531955,7.1624266144814195,0
16,Round 1,6.0,3.1,1.1,4.0,0.1,61.6522158684823,7.785602503912374,0
17,Round 2,6.0,4.4,6.0,3.8,0.09,62.2058900089724,7.092751363990628,0
18,Round 2,6.0,2.6,7.2,4.6,0.07,62.54626223710005,3.06528662420382,0
19,Round 2,6.0,10.0,8.7,4.6,0.06,62.6484524972948,0.6012024048096419,0
20,Round 2,6.0,11.3,4.6,4.7,0.1,61.850279803419454,6.503442999234886,0
21,Round 2,6.5,10.8,8.0,4.8,0.08,62.7846313645459,1.5963978714694929,0
22,Round 3,6.5,11.5,9.5,4.4,0.07,63.0859053155076,4.9680090327437005,0
23,Round 3,6.0,0.5,9.4,5.0,0.05,63.12750020422975,3.3292231812576873,0
24,Round 3,6.5,6.2,9.0,4.2,0.07,62.95357709669415,-2.1420071400238108,0
25,Round 3,6.0,3.8,9.7,3.6,0.08,62.817946298886596,1.269230769230766,0
26,Round 3,6.5,0.9,8.8,4.5,0.06,63.04782664172325,1.6666666666666496,0
27,Round 3,6.5,16.5,9.7,4.8,0.06,63.0334620481747,-1.100628930817611,0
28,Round 3,6.5,32.5,9.8,4.4,0.06,62.86464731003315,-1.3249907986749938,0
29,Round 3,6.5,20.0,9.5,3.8,0.07,62.8800647586791,2.1201413427562117,0
30,Round 3,6.5,6.0,9.0,4.5,0.06,63.062026949692495,-0.667451904201017,0
31,Round 3,6.5,26.0,9.5,3.2,0.07,62.70194498750295,3.0026605853287958,0
32,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,61.945954755460846,4.37017994858611,0
33,Intial,5.0,15.0,7.0,0.0,0.01,31.007323886723842,16.380458593144237,1
34,Intial,5.0,18.33,1.0,3.0,0.0,29.224319816362538,3.212902167927157,1
35,Intial,5.5,11.67,5.0,5.0,0.001,30.476610495638788,7.4396436830139265,1
36,Intial,6.0,8.33,4.0,4.0,0.1,30.186104658172376,-5.296970232537955,1
37,Intial,6.0,41.67,7.0,0.0,0.0,31.3228945604923,13.323722516352259,1
38,Intial,6.0,1.67,2.0,2.0,0.01,28.978713076504146,-1.658407356864899,1
39,Intial,6.0,25.0,7.0,3.0,0.01,32.5778479832488,20.466093184928685,1
40,Intial,6.0,45.0,1.0,5.0,0.1,29.857575817919635,-2.8036525138181116,1
41,Intial,6.0,48.33,4.0,5.0,0.0,31.08914613449018,11.716672287496891,1
42,Intial,6.0,38.33,0.0,2.0,0.1,30.046439176929542,1.4380859486340476,1
43,Intial,6.0,31.67,9.0,3.0,0.001,32.312616128112516,22.748467464923724,1
44,Intial,6.5,28.33,3.0,3.0,0.0,29.227678641880207,-4.823583930720666,1
45,Intial,6.5,35.0,5.0,2.0,0.01,30.951945973997685,6.100912031874882,1
46,Intial,6.5,5.0,5.0,3.0,0.001,30.772278656134585,6.79492088960442,1
47,Round 1,6.0,15.0,7.1,4.8,0.09,32.09831089624839,12.89693198687219,1
48,Round 1,6.0,6.0,6.1,4.4,0.1,30.28572694342833,-4.420853008015626,1
49,Round 1,6.0,3.1,1.1,4.0,0.1,30.68456289900734,2.6383300215328003,1
50,Round 2,6.0,4.4,6.0,3.8,0.09,30.38231754764372,-2.8403295172989043,1
51,Round 2,6.0,2.6,7.2,4.6,0.07,31.307784069775902,1.839762034353901,1
52,Round 2,6.0,10.0,8.7,4.6,0.06,31.802654929964394,4.540771234014645,1
53,Round 2,6.0,11.3,4.6,4.7,0.1,30.02164979164729,-4.7556405966452076,1
54,Round 2,6.5,10.8,8.0,4.8,0.08,32.332010875675884,9.126435836053295,1
55,Round 3,6.5,11.5,9.5,4.4,0.07,32.283061785637976,9.043369928028905,1
56,Round 3,6.0,0.5,9.4,5.0,0.05,31.97624397370982,5.320421162381361,1
57,Round 3,6.5,6.2,9.0,4.2,0.07,32.21629450790373,5.483016141510048,1
58,Round 3,6.0,3.8,9.7,3.6,0.08,30.84770602678379,-4.339726928386328,1
59,Round 3,6.5,0.9,8.8,4.5,0.06,31.42303364723955,-0.06073298332947008,1
60,Round 3,6.5,16.5,9.7,4.8,0.06,30.748564843944344,-7.358341123368481,1
61,Round 3,6.5,32.5,9.8,4.4,0.06,31.212416319621404,-2.6114682132311193,1
62,Round 3,6.5,20.0,9.5,3.8,0.07,31.875397243895964,4.918578999989101,1
63,Round 3,6.5,6.0,9.0,4.5,0.06,30.963234299596355,-5.365782635741539,1
64,Round 3,6.5,26.0,9.5,3.2,0.07,31.025280469599675,-1.3851805171417801,1
65,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,30.40888241071818,-2.8143146757857083,1
