,Round,pH,NaCl_mM_,Trehalose_w_v_,Mannitol_w_v_,Tween_20_v_v_,Tm,NP,task_ind
0,Intial,5.0,15.0,7.0,0.0,0.01,59.347821678136796,9.125636672325951,0
1,Intial,5.0,18.33,1.0,3.0,0.0,59.453012227612504,15.327257663628801,0
2,Intial,5.5,11.67,5.0,5.0,0.001,61.8203655303956,22.56452955870109,0
3,Intial,6.0,8.33,4.0,4.0,0.1,62.133793265809004,5.018450184501833,0
4,Intial,6.0,41.67,7.0,0.0,0.0,61.2249757271141,14.055201698513784,0
5,Intial,6.0,1.67,2.0,2.0,0.01,61.73605820596415,30.172068827531014,0
6,Intial,6.0,25.0,7.0,3.0,0.01,62.29108992377515,15.544041450777204,0
7,Intial,6.0,45.0,1.0,5.0,0.1,60.96488982123335,5.468749999999992,0
8,Intial,6.0,48.33,4.0,5.0,0.0,61.654498619044546,18.791118421052627,0
9,Intial,6.0,38.33,0.0,2.0,0.1,60.5022909329801,6.504672897196259,0
10,Intial,6.0,31.67,9.0,3.0,0.001,62.2247651585881,24.22231439236831,0
11,Intial,6.5,28.33,3.0,3.0,0.0,61.8376657059733,20.329218106995878,0
12,Intial,6.5,35.0,5.0,2.0,0.01,62.43323172540655,16.893203883495165,0
13,Intial,6.5,5.0,5.0,3.0,0.001,62.1750920482675,19.17808219178082,0
14,Round 1,6.0,15.0,7.1,4.8,0.09,62.335215959400145,9.296781883194297,0
15,Round 1,6.0,6.0,6.1,4.4,0.1,62.37723903531955,7.1624266144814195,0
16,Round 1,6.0,3.1,1.1,4.0,0.1,61.6522158684823,7.785602503912374,0
17,Round 2,6.0,4.4,6.0,3.8,0.09,62.2058900089724,7.092751363990628,0
18,Round 2,6.0,2.6,7.2,4.6,0.07,62.54626223710005,3.06528662420382,0
19,Round 2,6.0,10.0,8.7,4.6,0.06,62.6484524972948,0.6012024048096419,0
20,Round 2,6.0,11.3,4.6,4.7,0.1,61.850279803419454,6.503442999234886,0
21,Round 2,6.5,10.8,8.0,4.8,0.08,62.7846313645459,1.5963978714694929,0
22,Round 3,6.5,11.5,9.5,4.4,0.07,63.0859053155076,4.9680090327437005,0
23,Round 3,6.0,0.5,9.4,5.0,0.05,63.12750020422975,3.3292231812576873,0
24,Round 3,6.5,6.2,9.0,4.2,0.07,62.95357709669415,-2.1420071400238108,0
25,Round 3,6.0,3.8,9.7,3.6,0.08,62.817946298886596,1.269230769230766,0
26,Round 3,6.5,0.9,8.8,4.5,0.06,63.04782664172325,1.6666666666666496,0
27,Round 3,6.5,16.5,9.7,4.8,0.06,63.0334620481747,-1.100628930817611,0
28,Round 3,6.5,32.5,9.8,4.4,0.06,62.86464731003315,-1.3249907986749938,0
29,Round 3,6.5,20.0,9.5,3.8,0.07,62.8800647586791,2.1201413427562117,0
30,Round 3,6.5,6.0,9.0,4.5,0.06,63.062026949692495,-0.667451904201017,0
31,Round 3,6.5,26.0,9.5,3.2,0.07,62.70194498750295,3.0026605853287958,0
32,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,61.945954755460846,4.37017994858611,0
33,Intial,5.0,15.0,7.0,0.0,0.01,60.00871123361592,13.856138372281013,1
34,Intial,5.0,18.33,1.0,3.0,0.0,59.19359079431424,11.374383992610603,1
35,Intial,5.5,11.67,5.0,5.0,0.001,61.358216454435464,18.189328642423668,1
36,Intial,6.0,8.33,4.0,4.0,0.1,61.41864254423255,0.4333610470412923,1
37,Intial,6.0,41.67,7.0,0.0,0.0,61.38936454601444,15.556075034977205,1
38,Intial,6.0,1.67,2.0,2.0,0.01,60.56081861582874,18.64148739413446,1
39,Intial,6.0,25.0,7.0,3.0,0.01,62.70666623744986,20.06709536896518,1
40,Intial,6.0,45.0,1.0,5.0,0.1,60.49347443040173,1.9628199827688895,1
41,Intial,6.0,48.33,4.0,5.0,0.0,61.55363682158781,17.84823662783057,1
42,Intial,6.0,38.33,0.0,2.0,0.1,60.28538388683076,4.740794248612722,1
43,Intial,6.0,31.67,9.0,3.0,0.001,62.531951607565695,26.8581324749895,1
44,Intial,6.5,28.33,3.0,3.0,0.0,60.75048179945,10.653384564209544,1
45,Intial,6.5,35.0,5.0,2.0,0.01,61.99351038957143,13.827070817390979,1
46,Intial,6.5,5.0,5.0,3.0,0.001,61.7361066702547,15.661202408315459,1
47,Round 1,6.0,15.0,7.1,4.8,0.09,62.497767830231965,12.241189528201756,1
48,Round 1,6.0,6.0,6.1,4.4,0.1,61.62678985014409,2.2658588192174105,1
49,Round 1,6.0,3.1,1.1,4.0,0.1,61.35162141715642,6.171078511705573,1
50,Round 2,6.0,4.4,6.0,3.8,0.09,61.56291315984911,3.003784694701972,1
51,Round 2,6.0,2.6,7.2,4.6,0.07,62.24359348451426,2.696776814092726,1
52,Round 2,6.0,10.0,8.7,4.6,0.06,62.555516627445805,2.4284688708737256,1
53,Round 2,6.0,11.3,4.6,4.7,0.1,61.152230380247936,1.6701487776540358,1
54,Round 2,6.5,10.8,8.0,4.8,0.08,62.90669860479337,5.350344174757193,1
55,Round 3,6.5,11.5,9.5,4.4,0.07,63.0789228152143,7.508075116324862,1
56,Round 3,6.0,0.5,9.4,5.0,0.05,62.95397979715548,4.594056592063748,1
57,Round 3,6.5,6.2,9.0,4.2,0.07,62.95952846541941,1.1064110311986886,1
58,Round 3,6.0,3.8,9.7,3.6,0.08,62.19274878391168,-1.5373637817274508,1
59,Round 3,6.5,0.9,8.8,4.5,0.06,62.62782639264417,0.8426664610810661,1
60,Round 3,6.5,16.5,9.7,4.8,0.06,62.28416601951877,-4.579080299652148,1
61,Round 3,6.5,32.5,9.8,4.4,0.06,62.40397041729839,-2.3726765131965526,1
62,Round 3,6.5,20.0,9.5,3.8,0.07,62.74262361872408,3.6063480495184668,1
63,Round 3,6.5,6.0,9.0,4.5,0.06,62.409193751946226,-3.3089835961879346,1
64,Round 3,6.5,26.0,9.5,3.2,0.07,62.20510746469256,1.0575307115641435,1
65,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,61.40655480902542,1.2410686447333834,1
