,Round,pH,NaCl_mM_,Trehalose_w_v_,Mannitol_w_v_,Tween_20_v_v_,Tm,NP,task_ind
0,Intial,5.0,15.0,7.0,0.0,0.01,59.347821678136796,9.125636672325951,0
1,Intial,5.0,18.33,1.0,3.0,0.0,59.453012227612504,15.327257663628801,0
2,Intial,5.5,11.67,5.0,5.0,0.001,61.8203655303956,22.56452955870109,0
3,Intial,6.0,8.33,4.0,4.0,0.1,62.133793265809004,5.018450184501833,0
4,Intial,6.0,41.67,7.0,0.0,0.0,61.2249757271141,14.055201698513784,0
5,Intial,6.0,1.67,2.0,2.0,0.01,61.73605820596415,30.172068827531014,0
6,Intial,6.0,25.0,7.0,3.0,0.01,62.29108992377515,15.544041450777204,0
7,Intial,6.0,45.0,1.0,5.0,0.1,60.96488982123335,5.468749999999992,0
8,Intial,6.0,48.33,4.0,5.0,0.0,61.654498619044546,18.791118421052627,0
9,Intial,6.0,38.33,0.0,2.0,0.1,60.5022909329801,6.504672897196259,0
10,Intial,6.0,31.67,9.0,3.0,0.001,62.2247651585881,24.22231439236831,0
11,Intial,6.5,28.33,3.0,3.0,0.0,61.8376657059733,20.329218106995878,0
12,Intial,6.5,35.0,5.0,2.0,0.01,62.43323172540655,16.893203883495165,0
13,Intial,6.5,5.0,5.0,3.0,0.001,62.1750920482675,19.17808219178082,0
14,Round 1,6.0,15.0,7.1,4.8,0.09,62.335215959400145,9.296781883194297,0
15,Round 1,6.0,6.0,6.1,4.4,0.1,62.37723903531955,7.1624266144814195,0
16,Round 1,6.0,3.1,1.1,4.0,0.1,61.6522158684823,7.785602503912374,0
17,Round 2,6.0,4.4,6.0,3.8,0.09,62.2058900089724,7.092751363990628,0
18,Round 2,6.0,2.6,7.2,4.6,0.07,62.54626223710005,3.06528662420382,0
19,Round 2,6.0,10.0,8.7,4.6,0.06,62.6484524972948,0.6012024048096419,0
20,Round 2,6.0,11.3,4.6,4.7,0.1,61.850279803419454,6.503442999234886,0
21,Round 2,6.5,10.8,8.0,4.8,0.08,62.7846313645459,1.5963978714694929,0
22,Round 3,6.5,11.5,9.5,4.4,0.07,63.0859053155076,4.9680090327437005,0
23,Round 3,6.0,0.5,9.4,5.0,0.05,63.12750020422975,3.3292231812576873,0
24,Round 3,6.5,6.2,9.0,4.2,0.07,62.95357709669415,-2.1420071400238108,0
25,Round 3,6.0,3.8,9.7,3.6,0.08,62.817946298886596,1.269230769230766,0
26,Round 3,6.5,0.9,8.8,4.5,0.06,63.04782664172325,1.6666666666666496,0
27,Round 3,6.5,16.5,9.7,4.8,0.06,63.0334620481747,-1.100628930817611,0
28,Round 3,6.5,32.5,9.8,4.4,0.06,62.86464731003315,-1.3249907986749938,0
29,Round 3,6.5,20.0,9.5,3.8,0.07,62.8800647586791,2.1201413427562117,0
30,Round 3,6.5,6.0,9.0,4.5,0.06,63.062026949692495,-0.667451904201017,0
31,Round 3,6.5,26.0,9.5,3.2,0.07,62.70194498750295,3.0026605853287958,0
32,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,61.945954755460846,4.37017994858611,0
33,Intial,5.0,15.0,7.0,0.0,0.01,60.66087607915444,3.861378626514973,1
34,Intial,5.0,18.33,1.0,3.0,0.0,58.80070752258505,-15.259412189844934,1
35,Intial,5.5,11.67,5.0,5.0,0.001,57.684597295148905,-18.27922716951996,1
36,Intial,6.0,8.33,4.0,4.0,0.1,57.08749190500143,-13.4092455735199,1
37,Intial,6.0,41.67,7.0,0.0,0.0,59.10880480986785,-4.0406195321722045,1
38,Intial,6.0,1.67,2.0,2.0,0.01,56.293233601180596,-34.78783154910934,1
39,Intial,6.0,25.0,7.0,3.0,0.01,59.28662207078608,1.5152270097314695,1
40,Intial,6.0,45.0,1.0,5.0,0.1,57.92395906029267,-11.400858220119217,1
41,Intial,6.0,48.33,4.0,5.0,0.0,58.45238137302734,-10.322895765554545,1
42,Intial,6.0,38.33,0.0,2.0,0.1,58.56900623155635,-8.251897551038473,1
43,Intial,6.0,31.67,9.0,3.0,0.001,59.09125823429099,-4.849268858308515,1
44,Intial,6.5,28.33,3.0,3.0,0.0,56.43756611764999,-28.136971935641192,1
45,Intial,6.5,35.0,5.0,2.0,0.01,57.54448776475708,-13.969488398834555,1
46,Intial,6.5,5.0,5.0,3.0,0.001,57.62373264999827,-15.553511183263907,1
47,Round 1,6.0,15.0,7.1,4.8,0.09,58.77061741475909,0.2612000737041599,1
48,Round 1,6.0,6.0,6.1,4.4,0.1,56.9440058542949,-14.674114206559606,1
49,Round 1,6.0,3.1,1.1,4.0,0.1,58.05624066754283,-8.341129835139846,1
50,Round 2,6.0,4.4,6.0,3.8,0.09,57.20916264789191,-13.048578915443684,1
51,Round 2,6.0,2.6,7.2,4.6,0.07,57.782725266120984,-4.443224410700305,1
52,Round 2,6.0,10.0,8.7,4.6,0.06,58.16863026624248,0.6618188971333634,1
53,Round 2,6.0,11.3,4.6,4.7,0.1,57.20689705763414,-14.349837323576075,1
54,Round 2,6.5,10.8,8.0,4.8,0.08,58.554764694308886,4.1898711325439875,1
55,Round 3,6.5,11.5,9.5,4.4,0.07,58.20758894776081,0.7622013207854827,1
56,Round 3,6.0,0.5,9.4,5.0,0.05,57.864178300485996,-1.2776298932762946,1
57,Round 3,6.5,6.2,9.0,4.2,0.07,58.27315909805758,4.311945325569575,1
58,Round 3,6.0,3.8,9.7,3.6,0.08,57.060061712035186,-8.746019790242803,1
59,Round 3,6.5,0.9,8.8,4.5,0.06,57.39847976085838,-4.92675969098843,1
60,Round 3,6.5,16.5,9.7,4.8,0.06,56.74856372964824,-9.36677746026931,1
61,Round 3,6.5,32.5,9.8,4.4,0.06,57.37285908785995,-4.469731067021032,1
62,Round 3,6.5,20.0,9.5,3.8,0.07,58.01041782025177,-0.47348503641461903,1
63,Round 3,6.5,6.0,9.0,4.5,0.06,56.93160876053076,-7.8345116369903325,1
64,Round 3,6.5,26.0,9.5,3.2,0.07,57.35004068863035,-7.556780357156142,1
65,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,57.493272815126986,-10.321174063426405,1
