,Round,pH,NaCl_mM_,Trehalose_w_v_,Mannitol_w_v_,Tween_20_v_v_,Tm,NP,task_ind
0,Intial,5.0,15.0,7.0,0.0,0.01,59.347821678136796,9.125636672325951,0
1,Intial,5.0,18.33,1.0,3.0,0.0,59.453012227612504,15.327257663628801,0
2,Intial,5.5,11.67,5.0,5.0,0.001,61.8203655303956,22.56452955870109,0
3,Intial,6.0,8.33,4.0,4.0,0.1,62.133793265809004,5.018450184501833,0
4,Intial,6.0,41.67,7.0,0.0,0.0,61.2249757271141,14.055201698513784,0
5,Intial,6.0,1.67,2.0,2.0,0.01,61.73605820596415,30.172068827531014,0
6,Intial,6.0,25.0,7.0,3.0,0.01,62.29108992377515,15.544041450777204,0
7,Intial,6.0,45.0,1.0,5.0,0.1,60.96488982123335,5.468749999999992,0
8,Intial,6.0,48.33,4.0,5.0,0.0,61.654498619044546,18.791118421052627,0
9,Intial,6.0,38.33,0.0,2.0,0.1,60.5022909329801,6.504672897196259,0
10,Intial,6.0,31.67,9.0,3.0,0.001,62.2247651585881,24.22231439236831,0
11,Intial,6.5,28.33,3.0,3.0,0.0,61.8376657059733,20.329218106995878,0
12,Intial,6.5,35.0,5.0,2.0,0.01,62.43323172540655,16.893203883495165,0
13,Intial,6.5,5.0,5.0,3.0,0.001,62.1750920482675,19.17808219178082,0
14,Round 1,6.0,15.0,7.1,4.8,0.09,62.335215959400145,9.296781883194297,0
15,Round 1,6.0,6.0,6.1,4.4,0.1,62.37723903531955,7.1624266144814195,0
16,Round 1,6.0,3.1,1.1,4.0,0.1,61.6522158684823,7.785602503912374,0
17,Round 2,6.0,4.4,6.0,3.8,0.09,62.2058900089724,7.092751363990628,0
18,Round 2,6.0,2.6,7.2,4.6,0.07,62.54626223710005,3.06528662420382,0
19,Round 2,6.0,10.0,8.7,4.6,0.06,62.6484524972948,0.6012024048096419,0
20,Round 2,6.0,11.3,4.6,4.7,0.1,61.850279803419454,6.503442999234886,0
21,Round 2,6.5,10.8,8.0,4.8,0.08,62.7846313645459,1.5963978714694929,0
22,Round 3,6.5,11.5,9.5,4.4,0.07,63.0859053155076,4.9680090327437005,0
23,Round 3,6.0,0.5,9.4,5.0,0.05,63.12750020422975,3.3292231812576873,0
24,Round 3,6.5,6.2,9.0,4.2,0.07,62.95357709669415,-2.1420071400238108,0
25,Round 3,6.0,3.8,9.7,3.6,0.08,62.817946298886596,1.269230769230766,0
26,Round 3,6.5,0.9,8.8,4.5,0.06,63.04782664172325,1.6666666666666496,0
27,Round 3,6.5,16.5,9.7,4.8,0.06,63.0334620481747,-1.100628930817611,0
28,Round 3,6.5,32.5,9.8,4.4,0.06,62.86464731003315,-1.3249907986749938,0
29,Round 3,6.5,20.0,9.5,3.8,0.07,62.8800647586791,2.1201413427562117,0
30,Round 3,6.5,6.0,9.0,4.5,0.06,63.062026949692495,-0.667451904201017,0
31,Round 3,6.5,26.0,9.5,3.2,0.07,62.70194498750295,3.0026605853287958,0
32,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,61.945954755460846,4.37017994858611,0
33,Intial,5.0,15.0,7.0,0.0,0.01,-28.340497791412954,7.254821920818286,1
34,Intial,5.0,18.33,1.0,3.0,0.0,-30.228692411249973,-12.114355495701645,1
35,Intial,5.5,11.67,5.0,5.0,0.001,-31.34375503475681,-15.124885875687163,1
36,Intial,6.0,8.33,4.0,4.0,0.1,-31.94768860763663,-10.315420417039789,1
37,Intial,6.0,41.67,7.0,0.0,0.0,-29.902081166621798,-0.7314791821615252,1
38,Intial,6.0,1.67,2.0,2.0,0.01,-32.75734512946,-31.830476184395913,1
39,Intial,6.0,25.0,7.0,3.0,0.01,-29.713241940526338,4.922051734151478,1
40,Intial,6.0,45.0,1.0,5.0,0.1,-31.107314003313714,-8.272402513818104,1
41,Intial,6.0,48.33,4.0,5.0,0.0,-30.565352484554374,-7.074446133555735,1
42,Intial,6.0,38.33,0.0,2.0,0.1,-30.45585175605056,-5.066586948562211,1
43,Intial,6.0,31.67,9.0,3.0,0.001,-29.912149030475586,-1.473846927444587,1
44,Intial,6.5,28.33,3.0,3.0,0.0,-32.60998706409309,-25.152802037716544,1
45,Intial,6.5,35.0,5.0,2.0,0.01,-31.481285751408873,-10.792291851620282,1
46,Intial,6.5,5.0,5.0,3.0,0.001,-31.402813392132916,-12.3831613021764,1
47,Round 1,6.0,15.0,7.1,4.8,0.09,-30.236905063151763,3.6001501036778913,1
48,Round 1,6.0,6.0,6.1,4.4,0.1,-32.09151209189121,-11.583279622497045,1
49,Round 1,6.0,3.1,1.1,4.0,0.1,-30.967652969474962,-5.147272482379574,1
50,Round 2,6.0,4.4,6.0,3.8,0.09,-31.82357246132869,-9.933080881289532,1
51,Round 2,6.0,2.6,7.2,4.6,0.07,-31.238478167324157,-1.2255245898499192,1
52,Round 2,6.0,10.0,8.7,4.6,0.06,-30.84579756733041,3.939568829205003,1
53,Round 2,6.0,11.3,4.6,4.7,0.1,-31.828630011772162,-11.259083595880092,1
54,Round 2,6.5,10.8,8.0,4.8,0.08,-30.45262048887002,7.530037964583802,1
55,Round 3,6.5,11.5,9.5,4.4,0.07,-30.802843529869623,4.075360895285203,1
56,Round 3,6.0,0.5,9.4,5.0,0.05,-31.151256230519934,1.9911979811236742,1
57,Round 3,6.5,6.2,9.0,4.2,0.07,-30.737282588790414,7.625023281533859,1
58,Round 3,6.0,3.8,9.7,3.6,0.08,-31.970240272102807,-5.608957697617094,1
59,Round 3,6.5,0.9,8.8,4.5,0.06,-31.624792994483705,-1.7273996499961197,1
60,Round 3,6.5,16.5,9.7,4.8,0.06,-32.28489720423036,-6.257712192550869,1
61,Round 3,6.5,32.5,9.8,4.4,0.06,-31.652230990411752,-1.2864774145561255,1
62,Round 3,6.5,20.0,9.5,3.8,0.07,-31.004667514783133,2.7984376572328893,1
63,Round 3,6.5,6.0,9.0,4.5,0.06,-32.09879265009614,-4.698330731540521,1
64,Round 3,6.5,26.0,9.5,3.2,0.07,-31.67666451790328,-4.387841102470576,1
65,Round 3,6.0,8.33333333333333,4.0,4.0,0.1,-31.537072344742658,-7.184494624371819,1
