Import Date,ISID,Project,Protein,Modality,Control Type,Stress Condition,Temp. (°C),Time (Days),Well ID,Protein Conc (mg/mL),Sample Name,Notebook#,pH,Buffer,Arginine (mM),NaCl (mM),PS80 (%),Sucrose (%),Trehalose (%),Additional Excipient Name,Additional Excipient Unit,Additional Excipient Conc,CE-SDS NR - %Purity Sum,CE-SDS NR - Δ %Purity,CE-SDS NR - Abs (Δ %Purity),CE-SDS Red - %Purity Main Peak,CE-SDS Red - %Purity Sum,CE-SDS Red - Δ %Purity,CE-SDS Red - Abs (Δ %Purity),UV-Vis - A350-A500,cIEF - %Main,cIEF - %Acidic,cIEF - %Basic,cIEF - Δ %Main,cIEF - Δ %Acidic,cIEF - Δ %Basic,cIEF - Abs (Δ %Main),cIEF - Abs (Δ %Acidic),cIEF - Abs (Δ %Basic),DSF - Tm1 (°C),DSF - Tm2 (°C),FC - Initial - 0.22 μm conc. (cells/mL),FC - Initial - 0.45 μm conc. (cells/mL),FC - Initial - 0.88 μm conc. (cells/mL),FC - Initial - 1 μm conc. (cells/mL),FC - Initial - 1.35 μm conc. (cells/mL),FC - Initial - 2 μm conc. (cells/mL),FC - Initial - 5 μm conc. (cells/mL),FC - Initial - 10 μm conc. (cells/mL),FC - Initial - 25 μm conc. (cells/mL),FC - Stress - 0.22 μm conc. (cells/mL),FC - Stress - 0.45 μm conc. (cells/mL),FC - Stress - 0.88 μm conc. (cells/mL),FC - Stress - 1 μm conc. (cells/mL),FC - Stress - 1.35 μm conc. (cells/mL),FC - Stress - 2 μm conc. (cells/mL),FC - Stress - 5 μm conc. (cells/mL),FC - Stress - 10 μm conc. (cells/mL),FC - Stress - 25 μm conc. (cells/mL),AVG__2_UM,AVG__5_UM,AVG__25_UM,AVG_2_50_UM,AVG__100_UM,AVG_PARTICLE_COVERAGE____,RP-UPLC %Main,RP-UPLC %Pre-Peak,RP-UPLC %Post-Peak,RP-UPLC - Δ %Main,RP-UPLC - Δ %Pre-Peak,RP-UPLC - Δ %Post-Peak,RP-UPLC - Abs (Δ %Main),RP-UPLC - Abs (Δ %Pre-Peak),RP-UPLC - Abs (Δ %Post-Peak),UP-SEC - %Monomer,UP-SEC - %LMW,UP-SEC - %HMW,UP-SEC - Δ %Monomer,UP-SEC - Δ %LMW,UP-SEC - Δ %HMW,UP-SEC - Abs(Δ %Monomer),UP-SEC - Abs(Δ %LMW),UP-SEC - Abs(Δ %HMW),BATCH_BIOREG_ID,C_BIOREG_ID,FRAMEWORK,MERCK_NAME,PI,MW,IMPORTED_DATA_FILE_NAME,TARGETS,REAGENT_TYPE,Simplified Excipients,1st Excipient in Sample,2nd Excipient in Sample,#Conc for Excipient1,Origin of data
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B02,1,,NB-ferguhei-5069961-0004,5,Acetate,0,0,0,0,0,,,,,,,,98.91,-0.79,,0.054,,,,,,,,,,59.8,61.8,7922,465,61,61,40,20,0,0,,569870,178327,39983,21528,5296,2224,20,20,,,,,,,,,,,,,,,,,78.5,7.48,14,-15.5,1.6,13.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B03,1,,NB-ferguhei-5069961-0004,6.2,Citrate,0,0,0,0,0,,,,,,,,99.67,-0.02,,0.096,,,,,,,,,,62,63.4,16734,404,61,0,0,0,0,0,,887488,259555,27130,6004,121,20,0,0,,,,,,,,,,,,,,,,,92.1,6.46,1.47,-1.94,0.6,1.34,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B04,1,,NB-ferguhei-5069961-0004,6.8,Citrate,0,0,0,0,0,,,,,,,,99.49,-0.21,,0.09,,,,,,,,,,62.6,67.6,16067,445,40,20,0,0,0,0,,889286,207321,13808,2163,20,0,0,0,,,,,,,,,,,,,,,,,93.2,5.56,1.26,-0.83,-0.3,1.13,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B05,1,,NB-ferguhei-5069961-0004,5,Histidine,0,0,0,0,0,,,,,,,,97.03,-2.67,,0.057,,,,,,,,,,56.2,60.4,6386,505,61,40,20,20,0,0,,498903,114609,8651,4851,2082,1092,121,0,,,,,,,,,,,,,,,,,51.6,4.4,43.99,,-1.5,43.86,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B06,1,,NB-ferguhei-5069961-0004,5.6,Acetate,0,0,0,0,0,,,,,,,,99.49,-0.21,,0.055,,,,,,,,,,62.2,64,8913,768,364,323,243,141,20,0,,103765,14916,3537,2041,546,202,40,20,,,,,,,,,,,,,,,,,81.6,5.86,12.56,-12.42,0,12.43,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B07,1,,NB-ferguhei-5069961-0004,5.6,Histidine,0,0,0,0,0,,,,,,,,98.81,-0.88,,0.056,,,,,,,,,,59.6,62.8,6649,384,121,81,81,81,0,0,,56953,17886,4365,2082,707,263,0,0,,,,,,,,,,,,,,,,,82.8,4.45,12.81,-11.26,-1.4,12.68,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B08,1,,NB-ferguhei-5069961-0004,6.2,Acetate,0,0,0,0,0,,,,,,,,99.28,-0.42,,0.061,,,,,,,,,,60.6,63,10105,364,61,40,20,20,0,0,,906987,17794,1456,789,121,20,0,0,,,,,,,,,,,,,,,,,73.6,5.5,20.9,-20.41,-0.4,20.77,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B09,1,,NB-ferguhei-5069961-0004,5.6,Citrate,0,0,0,0,0,,,,,,,,100,0.31,,0.094,,,,,,,,,,63.2,64.6,15198,323,40,20,0,0,0,0,,433171,81702,3719,566,20,0,0,0,,,,,,,,,,,,,,,,,92.3,5.42,2.26,-1.69,-0.4,2.13,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B10,1,,NB-ferguhei-5069961-0004,6.2,Histidine,0,0,0,0,0,,,,,,,,99.47,-0.22,,0.056,,,,,,,,,,61.6,63.8,6245,323,81,81,61,61,0,0,,123112,15968,4467,2870,606,303,40,20,,,,,,,,,,,,,,,,,89.3,4.26,6.41,-4.69,-1.6,6.28,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50,10,B11,1,,NB-ferguhei-5069961-0004,6.8,Histidine,0,0,0,0,0,,,,,,,,99.17,-0.52,,0.059,,,,,,,,,,62.2,64,8690,445,141,81,20,20,0,0,,2000000,258955,4694,2266,607,182,20,20,,,,,,,,,,,,,,,,,86.2,4.47,9.3,-7.78,-1.4,9.17,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,N/A,-,-,2,Protein Formulation Characterization Summary
