Import_Date,ISID,Project,Protein,Modality,Control_Type,Stress_Condition,Temp_C_,Time_Days_,Well_ID,Protein_Conc_mg_mL_,Sample_Name,Notebook_,pH,Buffer,Arginine_mM_,NaCl_mM_,PS80_,Sucrose_,Trehalose_,Additional_Excipient_Name,Additional_Excipient_Unit,Additional_Excipient_Conc,CE_SDS_NR_Purity_Sum,CE_SDS_NR_chg_Purity,CE_SDS_NR_Abs_chg_Purity_,CE_SDS_Red_Purity_Main_Peak,CE_SDS_Red_Purity_Sum,CE_SDS_Red_chg_Purity,CE_SDS_Red_Abs_chg_Purity_,UV_Vis_A350_A500,cIEF_Main,cIEF_Acidic,cIEF_Basic,cIEF_chg_Main,cIEF_chg_Acidic,cIEF_chg_Basic,cIEF_Abs_chg_Main_,cIEF_Abs_chg_Acidic_,cIEF_Abs_chg_Basic_,DSF_Tm1_C_,DSF_Tm2_C_,FC_Initial_0_22_m_conc_cells_mL_,FC_Initial_0_45_m_conc_cells_mL_,FC_Initial_0_88_m_conc_cells_mL_,FC_Initial_1_m_conc_cells_mL_,FC_Initial_1_35_m_conc_cells_mL_,FC_Initial_2_m_conc_cells_mL_,FC_Initial_5_m_conc_cells_mL_,FC_Initial_10_m_conc_cells_mL_,FC_Initial_25_m_conc_cells_mL_,FC_Stress_0_22_m_conc_cells_mL_,FC_Stress_0_45_m_conc_cells_mL_,FC_Stress_0_88_m_conc_cells_mL_,FC_Stress_1_m_conc_cells_mL_,FC_Stress_1_35_m_conc_cells_mL_,FC_Stress_2_m_conc_cells_mL_,FC_Stress_5_m_conc_cells_mL_,FC_Stress_10_m_conc_cells_mL_,FC_Stress_25_m_conc_cells_mL_,AVG_2_UM,AVG_5_UM,AVG_25_UM,AVG_2_50_UM,AVG_100_UM,AVG_PARTICLE_COVERAGE_,RP_UPLC_Main,RP_UPLC_Pre_Peak,RP_UPLC_Post_Peak,RP_UPLC_chg_Main,RP_UPLC_chg_Pre_Peak,RP_UPLC_chg_Post_Peak,RP_UPLC_Abs_chg_Main_,RP_UPLC_Abs_chg_Pre_Peak_,RP_UPLC_Abs_chg_Post_Peak_,UP_SEC_Monomer,UP_SEC_LMW,UP_SEC_HMW,UP_SEC_chg_Monomer,UP_SEC_chg_LMW,UP_SEC_chg_HMW,UP_SEC_Abs_chg_Monomer_,UP_SEC_Abs_chg_LMW_,UP_SEC_Abs_chg_HMW_,BATCH_BIOREG_ID,C_BIOREG_ID,FRAMEWORK,MERCK_NAME,PI,MW,IMPORTED_DATA_FILE_NAME,TARGETS,REAGENT_TYPE,Simplified_Excipients,1st_Excipient_in_Sample,2nd_Excipient_in_Sample,_Conc_for_Excipient1,Origin_of_data
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B02,1.0,,NB-ferguhei-5069961-0004,5.0,Acetate,0,0,0.0,0.0,0,,,,,,,,98.91,-0.79,,0.054,,,,,,,,,,59.8,61.8,7922.0,465.0,61.0,61.0,40.0,20.0,0.0,0.0,,569870.0,178327.0,39983.0,21528.0,5296.0,2224.0,20.0,20.0,,,,,,,,,,,,,,,,,78.5,7.48,14.0,-15.5,1.6,13.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B03,1.0,,NB-ferguhei-5069961-0004,6.2,Citrate,0,0,0.0,0.0,0,,,,,,,,99.67,-0.02,,0.096,,,,,,,,,,62.0,63.4,16734.0,404.0,61.0,0.0,0.0,0.0,0.0,0.0,,887488.0,259555.0,27130.0,6004.0,121.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,92.1,6.46,1.47,-1.94,0.6,1.34,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B04,1.0,,NB-ferguhei-5069961-0004,6.8,Citrate,0,0,0.0,0.0,0,,,,,,,,99.49,-0.21,,0.09,,,,,,,,,,62.6,67.6,16067.0,445.0,40.0,20.0,0.0,0.0,0.0,0.0,,889286.0,207321.0,13808.0,2163.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,93.2,5.56,1.26,-0.83,-0.3,1.13,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B05,1.0,,NB-ferguhei-5069961-0004,5.0,Histidine,0,0,0.0,0.0,0,,,,,,,,97.03,-2.67,,0.057,,,,,,,,,,56.2,60.4,6386.0,505.0,61.0,40.0,20.0,20.0,0.0,0.0,,498903.0,114609.0,8651.0,4851.0,2082.0,1092.0,121.0,0.0,,,,,,,,,,,,,,,,,51.6,4.4,43.99,,-1.5,43.86,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B06,1.0,,NB-ferguhei-5069961-0004,5.6,Acetate,0,0,0.0,0.0,0,,,,,,,,99.49,-0.21,,0.055,,,,,,,,,,62.2,64.0,8913.0,768.0,364.0,323.0,243.0,141.0,20.0,0.0,,103765.0,14916.0,3537.0,2041.0,546.0,202.0,40.0,20.0,,,,,,,,,,,,,,,,,81.6,5.86,12.56,-12.42,0.0,12.43,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B07,1.0,,NB-ferguhei-5069961-0004,5.6,Histidine,0,0,0.0,0.0,0,,,,,,,,98.81,-0.88,,0.056,,,,,,,,,,59.6,62.8,6649.0,384.0,121.0,81.0,81.0,81.0,0.0,0.0,,56953.0,17886.0,4365.0,2082.0,707.0,263.0,0.0,0.0,,,,,,,,,,,,,,,,,82.8,4.45,12.81,-11.26,-1.4,12.68,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B08,1.0,,NB-ferguhei-5069961-0004,6.2,Acetate,0,0,0.0,0.0,0,,,,,,,,99.28,-0.42,,0.061,,,,,,,,,,60.6,63.0,10105.0,364.0,61.0,40.0,20.0,20.0,0.0,0.0,,906987.0,17794.0,1456.0,789.0,121.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,73.6,5.5,20.9,-20.41,-0.4,20.77,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B09,1.0,,NB-ferguhei-5069961-0004,5.6,Citrate,0,0,0.0,0.0,0,,,,,,,,100.0,0.31,,0.094,,,,,,,,,,63.2,64.6,15198.0,323.0,40.0,20.0,0.0,0.0,0.0,0.0,,433171.0,81702.0,3719.0,566.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,92.3,5.42,2.26,-1.69,-0.4,2.13,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B10,1.0,,NB-ferguhei-5069961-0004,6.2,Histidine,0,0,0.0,0.0,0,,,,,,,,99.47,-0.22,,0.056,,,,,,,,,,61.6,63.8,6245.0,323.0,81.0,81.0,61.0,61.0,0.0,0.0,,123112.0,15968.0,4467.0,2870.0,606.0,303.0,40.0,20.0,,,,,,,,,,,,,,,,,89.3,4.26,6.41,-4.69,-1.6,6.28,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,B11,1.0,,NB-ferguhei-5069961-0004,6.8,Histidine,0,0,0.0,0.0,0,,,,,,,,99.17,-0.52,,0.059,,,,,,,,,,62.2,64.0,8690.0,445.0,141.0,81.0,20.0,20.0,0.0,0.0,,2000000.0,258955.0,4694.0,2266.0,607.0,182.0,20.0,20.0,,,,,,,,,,,,,,,,,86.2,4.47,9.3,-7.78,-1.4,9.17,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,,-,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C02,1.0,,NB-ferguhei-5069961-0004,5.0,Acetate,0,50,0.0,0.0,0,,,,,,,,98.08,-1.62,,0.362,,,,,,,,,,57.4,59.2,10186.0,445.0,40.0,0.0,0.0,0.0,0.0,0.0,,4000000.0,4000000.0,3000000.0,3000000.0,1000000.0,77004.0,20.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,100.0,-94.01,-5.9,99.87,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C03,1.0,,NB-ferguhei-5069961-0004,6.2,Citrate,0,50,0.0,0.0,0,,,,,,,,99.65,-0.04,,0.178,,,,,,,,,,62.8,64.6,18957.0,647.0,61.0,0.0,0.0,0.0,0.0,0.0,,588908.0,416164.0,195137.0,109099.0,13178.0,4952.0,1011.0,0.0,,,,,,,,,,,,,,,,,89.0,9.04,2.01,-5.06,3.2,1.88,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C04,1.0,,NB-ferguhei-5069961-0004,6.8,Citrate,0,50,0.0,0.0,0,,,,,,,,99.6,-0.09,,0.107,,,,,,,,,,62.0,63.8,18331.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,,1000000.0,604704.0,202478.0,84957.0,1799.0,222.0,61.0,0.0,,,,,,,,,,,,,,,,,90.0,8.52,1.48,-4.0,2.7,1.35,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
1/6/2023,ferguhei,aTau,03BHZ,mAb,Single Control,,50.0,10.0,C05,1.0,,NB-ferguhei-5069961-0004,5.0,Histidine,0,50,0.0,0.0,0,,,,,,,,92.69,-7.0,,0.215,,,,,,,,,,56.6,58.8,14369.0,546.0,40.0,0.0,0.0,0.0,0.0,0.0,,3000000.0,3000000.0,2000000.0,2000000.0,202228.0,1597.0,20.0,0.0,,,,,,,,,,,,,,,,,16.1,18.56,65.29,,12.7,65.16,,,,03BHZ,03BHZ,,,,,aTau historical data.xlsx,,,NaCl 50 mM,NaCl 50 mM,-,2,Protein Formulation Characterization Summary
