"School","ExamScore","PercentFSM","Gender","VRBand","SchoolDenomination"
1,17,24,"Male","VR2","Maintained"
1,5,24,"Male","VR2","Maintained"
1,16,24,"Male","VR2","Maintained"
1,12,24,"Male","VR2","Maintained"
1,7,24,"Male","VR2","Maintained"
1,20,24,"Female","VR2","Maintained"
1,15,24,"Female","VR2","Maintained"
1,16,24,"Female","VR3","Maintained"
1,26,24,"Female","VR2","Maintained"
1,5,24,"Female","VR2","Maintained"
1,18,24,"Male","VR2","Maintained"
1,24,24,"Female","VR1","Maintained"
1,9,24,"Female","VR2","Maintained"
1,15,24,"Female","VR3","Maintained"
1,31,24,"Female","VR1","Maintained"
1,7,24,"Male","VR2","Maintained"
1,11,24,"Female","VR2","Maintained"
1,29,24,"Female","VR1","Maintained"
1,22,24,"Male","VR2","Maintained"
1,28,24,"Female","VR1","Maintained"
1,27,24,"Male","VR1","Maintained"
1,5,24,"Male","VR2","Maintained"
1,17,24,"Male","VR2","Maintained"
1,15,24,"Male","VR2","Maintained"
1,5,24,"Male","VR2","Maintained"
1,18,24,"Female","VR2","Maintained"
1,21,24,"Female","VR2","Maintained"
1,22,24,"Female","VR1","Maintained"
1,6,24,"Male","VR3","Maintained"
1,8,24,"Female","VR3","Maintained"
1,9,24,"Male","VR3","Maintained"
1,22,24,"Female","VR2","Maintained"
1,10,24,"Female","VR2","Maintained"
1,17,24,"Female","VR3","Maintained"
1,19,24,"Male","VR2","Maintained"
1,30,24,"Female","VR2","Maintained"
1,27,24,"Male","VR1","Maintained"
1,2,24,"Female","VR2","Maintained"
1,2,24,"Male","VR2","Maintained"
1,26,24,"Male","VR1","Maintained"
1,22,24,"Female","VR2","Maintained"
1,4,24,"Male","VR3","Maintained"
1,11,24,"Female","VR2","Maintained"
1,5,24,"Male","VR1","Maintained"
1,14,24,"Female","VR2","Maintained"
1,8,24,"Female","VR2","Maintained"
1,30,24,"Male","VR1","Maintained"
1,18,24,"Female","VR2","Maintained"
1,7,24,"Male","VR3","Maintained"
1,10,24,"Male","VR2","Maintained"
1,12,24,"Female","VR3","Maintained"
1,16,24,"Male","VR2","Maintained"
1,17,24,"Female","VR1","Maintained"
1,17,24,"Male","VR1","Maintained"
1,24,24,"Female","VR2","Maintained"
1,39,24,"Male","VR3","Maintained"
1,22,24,"Male","VR1","Maintained"
1,3,24,"Male","VR3","Maintained"
1,16,24,"Male","VR2","Maintained"
1,19,24,"Female","VR2","Maintained"
1,16,24,"Male","VR1","Maintained"
1,5,24,"Male","VR2","Maintained"
1,16,24,"Female","VR2","Maintained"
1,18,24,"Male","VR1","Maintained"
1,31,24,"Female","VR2","Maintained"
1,23,24,"Male","VR2","Maintained"
1,18,24,"Female","VR2","Maintained"
1,30,24,"Female","VR1","Maintained"
1,50,24,"Male","VR1","Maintained"
1,4,24,"Female","VR3","Maintained"
1,25,24,"Female","VR2","Maintained"
1,13,24,"Female","VR2","Maintained"
1,32,24,"Male","VR2","Maintained"
1,26,24,"Female","VR1","Maintained"
1,8,24,"Female","VR2","Maintained"
