,Early,Middle,Late,Early.1,Middle.1,Late.1,Early.2,Middle.2,Late.2,Early.3,Middle.3,Late.3,Early.4,Middle.4,Late.4,MaxValue
Early Prog lead,0.1,0.5,0.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Tech Assmt HF,0.2,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Tech Assmt Lead,0.5,0.8,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tech Assmt Feasibility,0.5,0.8,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tech Asses Modeling/Simulation,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Other DPAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTEL,0.0,0.0,0.1,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1,0.0,0.0,1.0
DST Lead,0.0,0.0,0.0,0.4,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,1.0
Design,0.0,0.1,0.2,0.4,0.6,0.6,0.4,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.6
Molding,0.0,0.1,0.2,0.4,0.4,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Assembly,0.0,0.0,0.0,0.4,1.2,1.8,2.4,2.4,2.0,1.6,1.2,0.8,0.4,0.0,0.0,2.4
Dev Clin Pkg,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Characterization,0.0,0.2,0.8,1.2,2.0,2.0,1.6,1.2,0.8,0.8,0.4,0.2,0.0,0.0,0.0,2.0
DV lead,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.0,0.0,0.0,1.0
Method Dev & Test,0.0,0.2,0.6,1.8,2.4,3.0,3.0,3.0,2.4,1.8,1.4,0.6,0.0,0.0,0.0,3.0
CCI,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.6,0.6,0.4,0.2,0.1,0.0,0.0,0.0,0.8
Other DPPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.5
Design Controls,0.0,0.0,0.2,1.1,1.1,1.1,2.0,2.0,2.0,1.5,1.5,1.5,0.1,0.1,0.1,2.0
Dev Risk Mgmt,0.2,0.2,0.2,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.6,0.3,0.3,0.1,0.1,0.8
Data Mgmt,0.0,0.0,0.2,0.4,0.4,0.4,1.0,1.0,1.0,0.5,0.5,0.5,0.3,0.1,0.1,1.0
Other SHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dev ExM Tech Ops,0.0,0.0,0.0,0.0,0.125,0.25,0.5,0.5,0.75,1.0,1.25,1.875,1.875,1.875,1.875,1.875
Dev Tech Int,0.0,0.0,0.0,0.0,0.125,0.25,0.5,0.75,1.0,1.25,1.25,1.25,0.75,0.25,0.0,1.25
Dev Prod Steward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.875,3.75,4.375,6.0,6.625,6.875,6.875
Glass Crit Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other DTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
