,shortage_fte
Dev Prod Steward,6.875
Director/Mgmt,0.0
Tech Assmt Lead,1.0
Early Prog lead,0.5
Assembly,1.1778
DST Lead,0.3333
Dev Clin Pkg,0.0
Tech Assmt Feasibility,1.0
Design Controls,2.0
Glass & Crit Components,0.0
Tech Asses Modeling/Simulation,0.2
Other S&HF,0.0
Design,0.6667
Method Dev & Test,1.4444
Tech Assmt HF,0.4
HF,0.5
Other DPPD,0.0
DTEL,0.3867
Dev ExM Tech Ops,1.875
DV lead,0.5333
Dev Risk Mgmt,0.8
Molding,0.15
CCI,0.1333
Other DPAI,0.0
Other DTO,0.0
Dev Tech Int,3.0
Characterization,0.5556
Data Mgmt,1.0
