,s,f,Start_Date,Finish_Date
start,0,0,2023-09-03,2023-09-03
MK-8591-C,5,12,2023-10-08,2023-11-26
MK-1167-B,4,8,2023-10-01,2023-10-29
MK-3543-1-B,0,4,2023-09-03,2023-10-01
MK-3543-2-B,8,9,2023-10-29,2023-11-05
MK-3543-3-B,10,12,2023-11-12,2023-11-26
MK-1084GMP-D,0,4,2023-09-03,2023-10-01
MK-1084Dev-D,4,12,2023-10-01,2023-11-26
MK-1084Setup-A1,12,13,2023-11-26,2023-12-03
MK-1084-A1,13,17,2023-12-03,2023-12-31
MK-1084-2-D,17,18,2023-12-31,2024-01-07
EP-200-C,1,4,2023-09-10,2023-10-01
end,18,18,2024-01-07,2024-01-07
