,s,f,Start_Date,Finish_Date
start-0,0,0,2023-09-03,2023-09-03
MK-8591-C,2,9,2023-09-17,2023-11-05
MK-1167-B,8,12,2023-10-29,2023-11-26
MK-3543-1-B,0,4,2023-09-03,2023-10-01
MK-3543-TroubleShooting-B,4,5,2023-10-01,2023-10-08
MK-3543-2-B,9,10,2023-11-05,2023-11-12
MK-3543-Requal-B,10,11,2023-11-12,2023-11-19
MK-3543-3-B,12,14,2023-11-26,2023-12-10
MK-3543-Cleaning-B,14,15,2023-12-10,2023-12-17
MK-1084GMP-D,0,4,2023-09-03,2023-10-01
MK-1084Dev-D,4,12,2023-10-01,2023-11-26
MK-1084Setup-A1,0,1,2023-09-03,2023-09-10
MK-1084-A1,11,15,2023-11-19,2023-12-17
MK-1084-2-D,14,15,2023-12-10,2023-12-17
EP-200-E,5,8,2023-10-08,2023-10-29
Arrival-F,0,1,2023-09-03,2023-09-10
Installation-F,2,3,2023-09-17,2023-09-24
SAT-F,7,9,2023-10-22,2023-11-05
Setup-G,0,1,2023-09-03,2023-09-10
WaterTesting-G,1,2,2023-09-10,2023-09-17
Cleaning-G,2,3,2023-09-17,2023-09-24
Dev-G,4,5,2023-10-01,2023-10-08
Reset-G,5,6,2023-10-08,2023-10-15
GMP-G,11,13,2023-11-19,2023-12-03
end-0,15,15,2023-12-17,2023-12-17
