,s,f,Start_Date,Finish_Date
start-0,0,0,2023-09-03,2023-09-03
MK-8591-C,9,16,2023-11-05,2023-12-24
MK-1167-B,12,16,2023-11-26,2023-12-24
MK-3543-1-B,0,4,2023-09-03,2023-10-01
MK-3543-TroubleShooting-B,4,5,2023-10-01,2023-10-08
MK-3543-2-B,6,7,2023-10-15,2023-10-22
MK-3543-Requal-B,7,8,2023-10-22,2023-10-29
MK-3543-3-B,10,12,2023-11-12,2023-11-26
MK-3543-Cleaning-B,16,18,2023-12-24,2024-01-07
MK-1084GMP-D,0,4,2023-09-03,2023-10-01
MK-1084Dev-D,4,12,2023-10-01,2023-11-26
MK-1084Setup-A1,12,13,2023-11-26,2023-12-03
MK-1084-A1,13,17,2023-12-03,2023-12-31
MK-1084-2-D,17,18,2023-12-31,2024-01-07
EP-200-C,0,3,2023-09-03,2023-09-24
Arrival-F,0,1,2023-09-03,2023-09-10
Installation-F,2,3,2023-09-17,2023-09-24
SAT-F,6,8,2023-10-15,2023-10-29
Setup-G,0,1,2023-09-03,2023-09-10
WaterTesting-G,3,4,2023-09-24,2023-10-01
Cleaning-G,6,7,2023-10-15,2023-10-22
Dev-G,10,11,2023-11-12,2023-11-19
Reset-G,11,12,2023-11-19,2023-11-26
GMP-G,13,15,2023-12-03,2023-12-17
end-0,18,18,2024-01-07,2024-01-07
