,s,f,Start_Date,Finish_Date
start,0,0,2023-09-03,2023-09-03
MK-8591-C,2,9,2023-09-17,2023-11-05
MK-1167-B,9,13,2023-11-05,2023-12-03
MK-3543-1-B,1,5,2023-09-10,2023-10-08
MK-3543-2-B,14,15,2023-12-10,2023-12-17
MK-3543-3-B,15,17,2023-12-17,2023-12-31
MK-3543-A1,17,18,2023-12-31,2024-01-07
MK-3543-A2,18,19,2024-01-07,2024-01-14
MK-1084GMP-D,0,4,2023-09-03,2023-10-01
MK-1084Dev-D,4,12,2023-10-01,2023-11-26
MK-1084Setup-A1,12,13,2023-11-26,2023-12-03
MK-1084-A1,13,17,2023-12-03,2023-12-31
MK-1084-H,18,19,2024-01-07,2024-01-14
EP-200-C,10,13,2023-11-12,2023-12-03
end,19,19,2024-01-14,2024-01-14
